,L,R,F,M,C
23376,707,282,9,13384,0.773188135
23377,1652,95,16,16151,0.640663736
23378,803,165,14,14743,0.701832734
23379,1738,35,10,14728,0.702457903
23380,981,473,5,8479,1.220155679
23381,718,623,5,15824,0.65377591
23382,867,491,13,16978,0.609329721
23383,640,64,9,12795,0.808501758
23384,433,200,8,12059,0.857809105
23385,3224,31,6,14589,0.7089923920000001
23386,1322,32,19,11887,0.870131236
23387,509,301,7,14395,0.7184994790000001
23388,1134,16,9,14515,0.712544953
23389,630,116,12,11643,0.888255604
23390,525,58,10,13759,0.7516418340000001
23391,2495,117,7,11909,0.8684028890000001
23392,1172,583,8,11067,0.934426674
23393,649,18,13,18138,0.5701449989999999
23394,549,3,15,15269,0.677272251
23395,811,3,11,13504,0.765771623
23396,567,88,10,15410,0.6709999999999999
23397,511,82,14,13971,0.740108797
23398,2139,125,9,21661,0.477347306
23399,2680,76,15,19619,0.5270176870000001
23400,1050,20,12,16187,0.638753938
23401,1162,192,11,15483,0.667795647
23402,421,18,11,12006,0.861172747
23403,481,37,10,11629,0.889078167
23404,1450,10,12,18111,0.570830435
23405,2455,38,8,16673,0.620034187
23406,1511,293,11,14895,0.69404431
23407,2105,25,8,7170,1.441782427
23408,2332,262,12,15382,0.6720549990000001
23409,2815,42,14,13766,0.750942903
23410,1691,642,4,12920,0.8
23411,1417,410,9,16335,0.632715029
23412,532,102,7,13978,0.739343254
23413,1903,96,9,13494,0.76578257
23414,1546,130,5,10836,0.953488372
23415,434,42,9,14230,0.726031623
23416,1204,13,13,21235,0.48648081
23417,548,13,5,14522,0.711235367
23418,906,240,8,11132,0.9277937479999999
23419,626,90,13,14647,0.705122551
23420,1216,186,6,16070,0.642681394
23421,1079,76,14,18343,0.563010958
23422,3224,344,6,14592,0.7076994240000001
23423,1551,60,17,15239,0.677651421
23424,2759,37,11,16296,0.633678203
23425,673,36,8,12873,0.8021517909999999
23426,2459,397,12,14834,0.6960765809999999
23427,515,13,10,13236,0.7801012390000001
23428,862,394,9,15750,0.655555556
23429,933,132,12,16496,0.6258220170000001
23430,422,47,11,13392,0.770860962
23431,424,21,21,18597,0.555097059
23432,438,209,7,14641,0.705078888
23433,1974,122,8,12951,0.7970496490000001
23434,858,1,19,19219,0.537093501
23435,2014,35,13,19231,0.536712079
23436,755,10,10,16012,0.644537847
23437,1341,2,16,12947,0.797112072
23438,1717,98,12,15005,0.68777874
23439,437,8,8,14717,0.701188422
23440,2993,74,14,18124,0.569341205
23441,506,19,15,12131,0.850522628
23442,845,258,6,7124,1.4482032569999999
23443,515,277,4,16655,0.619402582
23444,1131,20,10,12226,0.843774742
23445,785,456,10,12678,0.813614135
23446,2324,9,12,17191,0.6
23447,442,293,5,14825,0.695701855
23448,739,74,12,11906,0.866200235
23449,1471,32,16,23790,0.43345901600000003
23450,2364,158,12,19921,0.517626123
23451,1133,111,18,10960,0.9408211679999999
23452,1095,117,11,13828,0.745676887
23453,1184,6,16,15376,0.670596384
23454,590,75,4,13772,0.7484911409999999
23455,621,518,5,13215,0.78
23456,538,466,3,7929,1.3
23457,869,141,15,22528,0.45753906299999997
23458,2177,73,8,15736,0.655
23459,1839,5,15,20498,0.502831496
23460,2547,130,13,13317,0.773943831
23461,2768,219,7,9441,1.091646012
23462,1307,102,13,13853,0.743867032
23463,2962,414,5,9515,1.082937467
23464,920,459,11,13245,0.777961495
23465,2306,210,6,8324,1.237868813
23466,2070,450,8,18245,0.564746506
23467,3090,43,19,22631,0.45526887899999996
23468,1429,125,15,18800,0.548028191
23469,562,95,14,12863,0.800967115
23470,823,293,14,17995,0.572514587
23471,2797,160,10,10560,0.975360795
23472,996,42,10,12578,0.818720782
23473,920,71,7,17455,0.589962188
23474,1677,8,19,24914,0.413317813
23475,454,1,10,14285,0.720824641
23476,913,61,17,13698,0.751691488
23477,1338,247,6,16254,0.6334631479999999
23478,2838,68,16,15813,0.651103522
23479,1767,62,13,16407,0.6275181329999999
23480,1983,498,2,13632,0.755134977
23481,732,213,5,14242,0.722749614
23482,1243,29,12,17908,0.574750949
23483,2451,78,10,13461,0.7644290909999999
23484,1668,101,11,16664,0.6174897979999999
23485,3180,194,18,16628,0.618802021
23486,1330,20,18,16575,0.620748718
23487,1899,432,6,13188,0.780163785
23488,430,121,9,19265,0.53398339
23489,2055,38,13,11272,0.9125097590000001
23490,2205,84,18,16512,0.622911216
23491,1700,2,8,16237,0.633448297
23492,2173,6,12,14120,0.7283852690000001
23493,2337,147,14,14265,0.720970207
23494,750,190,12,14415,0.713463753
23495,1746,118,10,16469,0.6244799320000001
23496,1930,135,8,13050,0.7880781609999999
23497,415,7,9,16734,0.6145530060000001
23498,1893,25,7,11534,0.8916100229999999
23499,576,15,12,19042,0.540057242
23500,2229,144,15,21388,0.480777539
23501,2440,2,24,15045,0.6834330340000001
23502,2951,62,13,12129,0.847692308
23503,633,93,10,13752,0.74762071
23504,1030,232,8,13392,0.767710573
23505,767,222,9,11640,0.8831890029999999
23506,783,45,7,14486,0.709644484
23507,700,168,14,17070,0.602097832
23508,880,13,8,10001,1.027619238
23509,614,42,14,13992,0.734433962
23510,2593,67,19,11636,0.883121348
23511,2169,106,14,15875,0.647289449
23512,1828,171,8,15825,0.6493162720000001
23513,2406,24,14,13897,0.739387638
23514,574,81,9,18794,0.546713845
23515,1607,18,6,15307,0.671253021
23516,514,20,13,20709,0.496153846
23517,2456,75,10,11677,0.8799049409999999
23518,578,479,7,8009,1.2828443
23519,393,39,13,16056,0.639881664
23520,1222,184,8,14662,0.700698404
23521,2262,460,2,11575,0.887568035
23522,955,4,6,8363,1.228450317
23523,759,30,11,14612,0.7030837670000001
23524,811,15,12,12537,0.819352317
23525,386,35,17,13758,0.746595435
23526,2142,378,9,12560,0.817774682
23527,794,93,6,12851,0.79922185
23528,2385,166,11,20022,0.51289132
23529,737,437,9,13973,0.7348457740000001
23530,2610,5,4,7868,1.305
23531,2250,272,6,11802,0.87
23532,606,20,15,18985,0.540824862
23533,669,25,19,14986,0.685136127
23534,2265,79,13,14140,0.726091231
23535,2193,74,13,18547,0.553364426
23536,1418,209,13,16299,0.629590772
23537,991,5,10,10945,0.937357698
23538,1042,483,11,12545,0.817760064
23539,2877,2,12,17019,0.6027475170000001
23540,2523,3,12,15019,0.6829862170000001
23541,2602,115,9,11278,0.9094999109999999
23542,892,36,11,14821,0.6920693609999999
23543,2858,424,11,12272,0.83577249
23544,1947,111,13,15774,0.6501020670000001
23545,3111,225,10,17351,0.59100974
23546,2323,103,16,18321,0.559713444
23547,1357,200,9,15585,0.657937119
23548,549,336,6,15258,0.672008127
23549,1709,105,9,19424,0.52785832
23550,2099,68,15,16757,0.61185236
23551,612,54,5,14730,0.69604888
23552,1801,41,13,16989,0.603481076
23553,2205,67,11,15552,0.659104295
23554,1204,354,10,10940,0.936928702
23555,620,130,11,17166,0.597093091
23556,558,23,17,14404,0.71153499
23557,1890,76,7,11630,0.881233878
23558,796,36,12,13221,0.775165267
23559,713,6,15,14484,0.7074275059999999
23560,2569,204,9,12107,0.846236888
23561,822,153,12,15267,0.671046702
23562,3228,8,11,16147,0.634473277
23563,556,24,12,16488,0.621323387
23564,561,263,12,12767,0.802359991
23565,1074,269,10,11392,0.899155548
23566,1369,112,9,21140,0.484480605
23567,1045,130,11,16277,0.629193955
23568,2735,6,7,19862,0.515574464
23569,2169,49,10,13930,0.735068198
23570,594,86,10,19299,0.530560651
23571,2140,1,11,16448,0.622523711
23572,2351,197,15,13005,0.7873133409999999
23573,1277,179,2,15168,0.675
23574,1677,76,11,13647,0.750066681
23575,940,79,12,26160,0.391284404
23576,2168,339,12,16016,0.639017233
23577,859,120,18,14581,0.70180646
23578,1335,134,11,18693,0.547336971
23579,801,7,8,12620,0.8105824090000001
23580,566,105,8,17696,0.578042495
23581,3013,101,11,17729,0.576942862
23582,1391,124,16,14864,0.688125
23583,2573,46,12,13095,0.78104391
23584,1390,24,12,16539,0.618349356
23585,1537,124,14,19615,0.521332654
23586,1387,7,12,15514,0.659135619
23587,570,13,10,12960,0.788981481
23588,1754,3,14,15528,0.658486605
23589,745,113,10,10960,0.9329352190000001
23590,2678,70,11,12255,0.8343198690000001
23591,1629,531,9,10907,0.93740717
23592,2332,151,8,14545,0.70289584
23593,807,29,11,16895,0.605122817
23594,2384,118,8,16130,0.633796032
23595,1301,350,2,12960,0.788765432
23596,1095,26,11,16457,0.621146017
23597,738,477,8,12368,0.826491753
23598,660,188,11,12415,0.8233596459999999
23599,976,128,13,15678,0.6518982010000001
23600,660,161,12,15774,0.647920629
23601,1069,90,5,12143,0.841608334
23602,632,25,7,12856,0.7949268820000001
23603,662,68,8,13412,0.761972115
23604,2512,7,13,14277,0.7157477059999999
23605,1162,105,9,15451,0.661315125
23606,1047,135,12,15019,0.680304947
23607,2691,122,8,14240,0.7175
23608,672,585,6,13932,0.7333333329999999
23609,601,259,6,13932,0.7333333329999999
23610,1232,300,11,13437,0.760309593
23611,961,132,11,14670,0.696366053
23612,388,13,8,11755,0.8689689490000001
23613,1515,118,5,11366,0.898671476
23614,2845,250,9,13340,0.7655884559999999
23615,2652,136,8,16057,0.6360347510000001
23616,1704,284,11,10501,0.972462623
23617,1743,9,16,16344,0.624736295
23618,2054,163,12,14388,0.709653183
23619,1671,143,8,14418,0.7081647940000001
23620,1684,16,10,14206,0.7186738
23621,410,71,14,15548,0.656639439
23622,907,115,12,23604,0.4325
23623,1697,25,13,15936,0.640588604
23624,2749,13,14,13833,0.7379599509999999
23625,551,1,16,14871,0.686449465
23626,1023,18,9,14646,0.6969384129999999
23627,734,275,7,18570,0.5496526660000001
23628,796,4,8,14816,0.688867441
23629,523,15,12,18292,0.5579526570000001
23630,1098,494,9,11088,0.920404942
23631,373,35,16,11040,0.924375
23632,2955,105,15,19989,0.5105332929999999
23633,703,167,12,17593,0.580047746
23634,546,273,7,20262,0.503623532
23635,445,38,11,14581,0.699833345
23636,978,314,10,16260,0.6275491999999999
23637,504,73,7,11345,0.899413839
23638,1282,22,10,14788,0.690008115
23639,646,73,13,16820,0.606644471
23640,1573,117,5,9093,1.122095018
23641,490,4,12,14792,0.689768794
23642,1159,151,9,14806,0.6891145479999999
23643,716,20,14,14801,0.689305452
23644,556,119,8,16741,0.609384744
23645,629,223,10,13656,0.74702768
23646,1166,107,12,16430,0.620876446
23647,564,1,9,13815,0.738374955
23648,675,48,19,19225,0.530591417
23649,1121,107,15,12496,0.8162491999999999
23650,1952,61,11,15366,0.6637901860000001
23651,381,116,9,12786,0.797710777
23652,2330,163,12,13047,0.7816969420000001
23653,2258,321,6,13793,0.7394004209999999
23654,965,19,4,18354,0.555658167
23655,1032,3,11,13872,0.735108852
23656,3120,49,14,16410,0.6213979279999999
23657,1401,266,7,11980,0.851142738
23658,2785,123,7,12565,0.8114914440000001
23659,765,224,14,11437,0.891507388
23660,1931,12,15,17631,0.578305825
23661,2506,315,7,13849,0.736193949
23662,447,57,10,13470,0.756868597
23663,2328,21,16,13053,0.781008963
23664,2993,33,12,23078,0.44173975200000004
23665,1091,61,6,13234,0.7702274440000001
23666,3231,19,16,20368,0.50042665
23667,934,20,14,17992,0.566488439
23668,1523,257,6,15022,0.67848156
23669,618,419,6,15811,0.644554424
23670,2838,11,6,13741,0.741610509
23671,2337,257,8,12809,0.795564057
23672,3211,10,12,17168,0.5935094360000001
23673,1949,180,2,15208,0.67
23674,2738,18,11,17635,0.577722143
23675,1093,21,20,15092,0.674965545
23676,694,399,9,11048,0.922003983
23677,1669,7,10,14018,0.7266329009999999
23678,1986,128,11,13145,0.774844428
23679,645,3,11,12449,0.818076954
23680,1988,78,2,15199,0.67
23681,3005,233,9,11888,0.8565780620000001
23682,536,141,8,13191,0.771923281
23683,461,43,5,15268,0.6668339010000001
23684,1491,113,5,18394,0.5534973360000001
23685,677,144,11,17620,0.577797389
23686,1055,245,15,13771,0.739283276
23687,394,36,9,16404,0.620578517
23688,2448,87,4,14720,0.6915625
23689,743,119,10,15291,0.6657157810000001
23690,641,60,10,13163,0.7732583759999999
23691,877,23,13,19643,0.518137759
23692,2690,31,10,16787,0.6061928870000001
23693,809,32,12,18510,0.549736359
23694,841,667,5,13215,0.77
23695,2270,139,9,10355,0.9826557220000001
23696,1021,279,7,16182,0.628806081
23697,1212,26,15,13765,0.7392052309999999
23698,2800,8,13,14676,0.6932992640000001
23699,2373,62,3,19382,0.524944278
23700,2741,191,7,10249,0.992662699
23701,934,214,9,11862,0.857674928
23702,1003,29,10,14046,0.724241777
23703,2730,6,15,14496,0.701699779
23704,2224,7,19,21650,0.46980184799999997
23705,757,36,7,13405,0.7587243570000001
23706,2771,15,10,14902,0.6822788890000001
23707,490,73,7,11559,0.879564841
23708,1822,13,9,11374,0.893817478
23709,1353,284,13,17932,0.56693453
23710,1735,2,11,12270,0.8285321920000001
23711,2091,37,12,16245,0.62576916
23712,2526,115,9,12957,0.784548892
23713,1089,6,10,16485,0.616559296
23714,1686,176,15,10944,0.9286202490000001
23715,1654,18,10,14398,0.70583206
23716,520,35,13,14589,0.696556995
23717,1329,325,14,16229,0.62615688
23718,775,91,9,12652,0.8031631359999999
23719,430,35,10,13877,0.732177704
23720,1116,391,14,24773,0.410087595
23721,626,607,2,16254,0.625
23722,481,2,10,17406,0.583620016
23723,2866,178,6,14614,0.695082113
23724,1012,32,19,12234,0.8302215140000001
23725,2511,143,5,11033,0.9205474490000001
23726,2265,4,13,17989,0.5645816889999999
23727,421,44,9,15305,0.663570729
23728,1415,9,11,13442,0.755509597
23729,1287,40,12,15233,0.666643471
23730,454,34,14,12436,0.816471534
23731,1548,125,14,17768,0.571448672
23732,725,337,16,14547,0.697968653
23733,510,11,7,8024,1.265353938
23734,2441,45,5,12769,0.795118647
23735,2373,67,9,13152,0.771936588
23736,2555,208,4,6944,1.461959965
23737,969,2,13,13747,0.7384025609999999
23738,558,174,7,9877,1.027708818
23739,1173,32,14,13046,0.778005519
23740,486,162,11,13309,0.762607258
23741,1730,142,8,11982,0.8470472379999999
23742,3065,236,13,19759,0.513632269
23743,963,103,8,19321,0.525246623
23744,381,5,11,15324,0.6620934479999999
23745,1743,196,12,11301,0.897731174
23746,2020,7,7,14967,0.677841919
23747,725,166,7,13080,0.7755978590000001
23748,2295,337,9,10753,0.943406491
23749,680,208,11,12915,0.7854502520000001
23750,1033,226,12,13944,0.727474182
23751,3367,44,9,18807,0.539367257
23752,549,14,5,14457,0.7016324270000001
23753,2414,104,7,10413,0.974070873
23754,2501,114,11,16622,0.610178679
23755,1222,225,8,12811,0.791664195
23756,597,92,13,18761,0.540538351
23757,751,172,15,12965,0.7821766290000001
23758,2958,136,5,13233,0.766309227
23759,1431,69,25,13200,0.768208333
23760,2727,85,10,12310,0.823746548
23761,838,26,12,18428,0.55021272
23762,712,42,12,10824,0.936666667
23763,1170,22,10,19144,0.529526745
23764,2136,124,17,17962,0.564330809
23765,996,126,6,12546,0.807926032
23766,862,6,8,12344,0.8211446859999999
23767,546,10,11,17992,0.563344264
23768,452,22,11,14400,0.703844444
23769,1567,438,6,16399,0.61790658
23770,1633,18,27,15660,0.647037037
23771,722,67,12,13832,0.732529641
23772,3145,216,6,11830,0.856482671
23773,890,67,7,17617,0.575120054
23774,819,72,13,17898,0.566056543
23775,2455,75,9,12945,0.7826087290000001
23776,742,95,16,16625,0.609317895
23777,1740,373,9,15024,0.67423123
23778,1587,74,19,26779,0.378240412
23779,2207,30,10,16228,0.624085531
23780,918,32,8,14083,0.7191365479999999
23781,1145,4,5,8717,1.161805667
23782,471,57,8,12064,0.83945126
23783,2441,75,31,25331,0.39977971700000003
23784,394,71,13,17871,0.566628616
23785,866,52,9,22623,0.44759625200000003
23786,741,17,13,18458,0.548594106
23787,762,19,16,20322,0.49820933
23788,832,102,15,13615,0.7435952990000001
23789,2247,205,6,13932,0.726666667
23790,705,36,25,13491,0.750291305
23791,1654,109,13,10308,0.9819596429999999
23792,3059,138,18,15720,0.643857506
23793,2391,153,10,14832,0.68237055
23794,564,125,24,11882,0.8516899509999999
23795,1936,270,10,15249,0.663613352
23796,2724,73,11,14220,0.711620253
23797,818,27,10,12613,0.8022770159999999
23798,1053,68,17,19857,0.509584529
23799,744,18,7,13397,0.755264611
23800,2127,277,13,15669,0.645741911
23801,640,217,8,20067,0.504211392
23802,1075,271,5,14210,0.7120000000000001
23803,1166,4,15,15683,0.645023911
23804,774,77,9,15772,0.641360005
23805,494,161,6,11553,0.87543149
23806,1460,108,10,14075,0.71854849
23807,3279,58,11,15821,0.63923393
23808,515,103,9,14376,0.703453673
23809,2372,1,8,16378,0.617464892
23810,1182,102,13,14016,0.721512557
23811,1050,15,12,17069,0.592377995
23812,1696,153,5,13065,0.773833907
23813,689,6,7,13279,0.761354018
23814,733,19,9,14362,0.7039249409999999
23815,3125,108,10,14439,0.700152365
23816,3177,7,16,18570,0.544327948
23817,1668,191,13,19698,0.5131444820000001
23818,874,347,15,14585,0.6930167979999999
23819,1263,445,5,8853,1.141658195
23820,2658,103,13,14697,0.687686603
23821,759,42,12,14900,0.678304027
23822,2125,233,11,21472,0.47068601
23823,1992,5,13,12610,0.8014591590000001
23824,1112,6,8,15530,0.650695428
23825,794,81,9,12266,0.8237404209999999
23826,1222,368,12,12022,0.8404258859999999
23827,438,98,9,20577,0.490983137
23828,2728,14,10,16047,0.629512681
23829,877,261,10,11261,0.897019803
23830,651,168,8,14313,0.7057416329999999
23831,739,288,6,13932,0.725
23832,1089,288,14,18680,0.540698073
23833,575,60,10,20910,0.483
23834,617,153,8,12750,0.791984314
23835,1423,361,3,7387,1.366860701
23836,950,176,18,15360,0.657240885
23837,1470,3,8,13866,0.728044137
23838,2227,11,14,11720,0.8613523890000001
23839,3046,480,6,10185,0.9910849290000001
23840,3128,411,7,15170,0.6653988129999999
23841,1992,20,6,16520,0.611001816
23842,1465,126,9,13209,0.764104777
23843,1400,2,17,16283,0.619809003
23844,1576,281,11,14022,0.7197125940000001
23845,1395,39,16,13429,0.7514796340000001
23846,982,44,12,11887,0.848956844
23847,1353,137,9,16010,0.630316677
23848,1026,47,7,14683,0.687249881
23849,1053,225,3,11527,0.8753465779999999
23850,1552,156,12,14331,0.704033215
23851,1406,155,13,13899,0.725870206
23852,536,29,19,15409,0.654736842
23853,598,3,14,17076,0.590810494
23854,1080,39,9,16929,0.595934196
23855,2137,289,10,11713,0.861298557
23856,2000,17,22,13298,0.7583636640000001
23857,1945,25,9,12833,0.7858411909999999
23858,2801,152,9,11345,0.8888259140000001
23859,3223,224,5,10743,0.938593503
23860,517,35,13,16156,0.624011513
23861,1985,84,7,14159,0.712022035
23862,843,44,11,15617,0.6455234679999999
23863,1486,89,7,14921,0.67563032
23864,985,253,12,11946,0.843869915
23865,794,1,8,12000,0.84
23866,2665,21,15,14983,0.67275846
23867,1873,31,10,16900,0.5964337279999999
23868,2151,12,15,14955,0.6739959879999999
23869,1212,199,16,16550,0.609029003
23870,450,88,18,10835,0.930204892
23871,987,399,11,14435,0.69820575
23872,1556,102,13,16541,0.609293271
23873,866,17,14,14835,0.679315133
23874,1568,220,8,12531,0.804187216
23875,1959,51,9,15645,0.644009588
23876,723,31,19,13988,0.720291679
23877,515,22,12,14488,0.695407234
23878,1423,353,7,15744,0.639900915
23879,602,69,8,12190,0.8264388840000001
23880,1718,207,12,14286,0.705170097
23881,1240,26,10,13802,0.729863788
23882,2335,586,7,10073,1.0
23883,2579,97,8,13914,0.723937042
23884,506,298,14,14510,0.694179876
23885,1363,28,15,11708,0.860279296
23886,2353,202,11,12852,0.78368503
23887,1104,45,12,13078,0.77013993
23888,1537,38,12,16215,0.6211390689999999
23889,971,18,13,14750,0.682821695
23890,1182,42,8,23619,0.42641559799999995
23891,2830,258,8,14411,0.698837693
23892,413,40,10,16170,0.622812616
23893,445,193,6,11787,0.8542326290000001
23894,829,178,12,11489,0.8762894940000001
23895,2497,14,6,11374,0.885064181
23896,1026,30,8,18106,0.55598089
23897,1204,81,11,12587,0.799757687
23898,1655,135,11,13565,0.742039071
23899,485,17,6,14624,0.68825971
23900,546,46,9,16036,0.627632826
23901,1922,27,11,14801,0.679984461
23902,706,32,4,22102,0.455346123
23903,471,56,5,6874,1.463968577
23904,435,387,4,11483,0.8762518509999999
23905,473,107,9,13315,0.7556830640000001
23906,2282,211,10,11856,0.848676619
23907,2074,103,8,14477,0.695000345
23908,1113,27,8,14044,0.71636642
23909,443,65,6,15827,0.635635939
23910,1171,20,6,14901,0.675129857
23911,2838,79,11,14401,0.698531352
23912,671,90,18,11395,0.882689776
23913,1961,77,11,14474,0.6949018929999999
23914,1246,93,10,15951,0.630515955
23915,2416,39,6,16950,0.593306195
23916,495,167,14,18004,0.558571429
23917,1491,15,12,16440,0.611709246
23918,920,74,14,11969,0.8401512240000001
23919,2861,85,7,18899,0.532067834
23920,478,96,11,15852,0.634299773
23921,2045,330,10,16870,0.595954357
23922,1872,78,9,17862,0.562840107
23923,609,226,10,15068,0.6671329970000001
23924,2564,34,4,15837,0.634712382
23925,745,50,12,18186,0.552705928
23926,2431,151,15,13553,0.7416321109999999
23927,390,98,16,11885,0.8457097179999999
23928,586,117,7,13743,0.731355599
23929,1592,139,9,15790,0.636533882
23930,529,67,7,14319,0.701911446
23931,490,189,10,14709,0.6832979809999999
23932,2287,424,9,13014,0.772222222
23933,1728,97,9,14353,0.700078729
23934,994,11,7,12033,0.8350029090000001
23935,1095,19,11,17135,0.586373505
23936,471,155,15,16695,0.601711291
23937,2201,51,11,12341,0.8139283690000001
23938,2162,118,11,12197,0.8234680659999999
23939,1824,32,10,15204,0.6606051039999999
23940,755,599,5,13215,0.76
23941,743,491,5,13215,0.76
23942,395,11,7,12735,0.788633687
23943,3125,69,5,14855,0.6759999999999999
23944,912,128,7,12165,0.825447596
23945,983,7,10,14221,0.706107165
23946,372,127,17,16772,0.598691867
23947,457,16,12,14827,0.677221285
23948,1268,18,10,14488,0.693034925
23949,1218,113,13,18553,0.541139977
23950,1512,222,18,14145,0.709765995
23951,1246,396,11,11890,0.84431455
23952,1695,5,12,11358,0.8838536709999999
23953,1038,464,7,12369,0.811601585
23954,1864,5,16,11464,0.875632415
23955,683,6,9,18204,0.551418919
23956,2308,367,11,13105,0.765955742
23957,2923,35,11,14007,0.716570286
23958,740,382,10,15691,0.639659678
23959,1324,40,18,16339,0.61428178
23960,1278,101,9,15688,0.6396226420000001
23961,1830,75,11,15979,0.627963577
23962,930,79,6,9400,1.067447872
23963,599,26,9,15680,0.63990051
23964,1222,99,10,19646,0.510709559
23965,3270,38,8,17336,0.578756345
23966,945,20,16,18375,0.546029388
23967,2215,153,6,11861,0.845898322
23968,2271,210,8,14010,0.716120628
23969,1236,80,11,15075,0.665499834
23970,952,264,13,11880,0.84446633
23971,1545,144,12,14906,0.6730229440000001
23972,2680,74,11,16987,0.590562783
23973,1720,9,7,14317,0.7006935809999999
23974,1882,348,9,11654,0.8607859959999999
23975,1540,56,12,14269,0.703014927
23976,1432,27,10,13364,0.75062182
23977,1424,150,8,13793,0.727273255
23978,606,15,13,15856,0.632643794
23979,2530,153,15,15157,0.661702844
23980,2279,37,10,17533,0.572024753
23981,747,702,2,9551,1.05
23982,845,78,12,13194,0.760045475
23983,1468,90,9,16504,0.60752969
23984,1424,22,18,15987,0.62717583
23985,578,112,10,14628,0.685410172
23986,3168,212,8,10751,0.932575574
23987,2479,25,11,10708,0.93618136
23988,959,102,8,14788,0.677884095
23989,1644,343,8,8945,1.120648407
23990,2088,96,14,12977,0.7723688059999999
23991,2569,323,6,10309,0.9722572509999999
23992,1989,106,8,14617,0.685687898
23993,730,73,12,12667,0.791220494
23994,1598,311,8,13823,0.725048832
23995,1617,73,11,14247,0.7034688
23996,366,150,5,13995,0.7160321540000001
23997,905,246,12,12811,0.782191086
23998,1575,36,7,13862,0.722854566
23999,2248,121,13,18716,0.53537134
24000,834,75,16,19775,0.506698357
24001,456,84,10,21427,0.467571289
24002,2093,70,13,12059,0.830754623
24003,2534,40,11,17170,0.583457775
24004,2832,103,7,18655,0.537004556
24005,2713,12,11,11175,0.896371365
24006,2253,254,8,10711,0.9351993279999999
24007,1299,295,7,15008,0.667365405
24008,803,80,12,15972,0.627073003
24009,930,4,16,17389,0.5759307610000001
24010,1635,29,9,11463,0.873591555
24011,2354,118,11,13897,0.7205842990000001
24012,496,473,2,9536,1.05
24013,451,73,10,12992,0.770668873
24014,2438,184,5,14855,0.674
24015,1696,599,4,12096,0.827719907
24016,2463,18,7,12609,0.7940360059999999
24017,699,153,6,18714,0.535
24018,1360,275,6,12462,0.803333333
24019,1967,125,6,12462,0.803333333
24020,565,399,9,16443,0.608797056
24021,805,39,4,19474,0.514001232
24022,2652,12,8,13232,0.7564253329999999
24023,670,29,6,13908,0.71959304
24024,1933,132,14,16531,0.605409231
24025,515,317,3,10804,0.926277305
24026,614,70,10,18810,0.532
24027,1885,21,11,14097,0.7098460670000001
24028,2155,206,8,15853,0.631204188
24029,1926,83,11,11957,0.8367893279999999
24030,3377,72,13,17881,0.55955092
24031,1473,48,12,14428,0.693434294
24032,2891,80,9,17508,0.571385081
24033,1420,147,7,11898,0.840787527
24034,728,412,9,10924,0.915708532
24035,391,11,12,13469,0.742669092
24036,3108,23,5,9768,1.024011057
24037,3125,138,18,21210,0.47154125399999997
24038,925,463,8,19835,0.504224855
24039,793,51,6,8579,1.165772235
24040,3152,81,8,12434,0.80433328
24041,2341,21,9,15441,0.6476789070000001
24042,496,168,10,15626,0.639975042
24043,1662,38,14,12886,0.776034456
24044,2138,56,9,12237,0.817108768
24045,1665,29,10,20326,0.491919217
24046,1090,425,7,13409,0.745655903
24047,3388,101,15,16427,0.608600475
24048,1662,214,8,14168,0.705623235
24049,2454,24,8,11370,0.879248901
24050,2034,9,7,11046,0.904997284
24051,2510,194,9,13927,0.717764055
24052,1032,191,11,14300,0.698997203
24053,1346,89,8,16130,0.6196918779999999
24054,1370,209,10,14767,0.676857182
24055,1441,3,13,19518,0.512072958
24056,555,47,11,13286,0.752100708
24057,709,456,8,15736,0.635
24058,2722,58,12,15180,0.658239789
24059,886,263,10,13940,0.716756098
24060,431,124,13,18045,0.55363591
24061,806,192,7,16055,0.622218623
24062,2356,2,15,14116,0.707679938
24063,1822,152,12,12753,0.783292559
24064,2042,9,8,12973,0.770004625
24065,392,74,9,13919,0.717639198
24066,1608,613,7,15503,0.644217248
24067,2078,156,8,14096,0.708506669
24068,433,11,12,17440,0.5726163989999999
24069,3115,144,13,15338,0.651002086
24070,435,35,5,13061,0.764465202
24071,2313,358,6,13932,0.716666667
24072,472,224,6,13932,0.716666667
24073,1854,236,8,12042,0.8291405079999999
24074,1568,200,11,11380,0.8773637959999999
24075,737,309,13,11486,0.8692669340000001
24076,2312,12,13,12873,0.77559854
24077,527,523,3,7573,1.318229235
24078,2407,111,9,16621,0.60060586
24079,2451,5,12,12699,0.7860918179999999
24080,1368,21,12,13257,0.752993136
24081,950,165,5,11144,0.895691852
24082,611,47,11,16892,0.5909039779999999
24083,635,25,13,13822,0.722135726
24084,981,97,6,15742,0.634018549
24085,768,413,10,12392,0.805374435
24086,1107,203,10,15826,0.630573739
24087,737,529,10,13702,0.728280543
24088,2546,14,4,8088,1.23368818
24089,3266,164,13,13539,0.736985745
24090,2435,122,8,14993,0.6654231970000001
24091,1671,17,15,14227,0.701230056
24092,1922,4,12,15183,0.657063163
24093,1879,121,18,16539,0.603164641
24094,755,106,6,13809,0.7223955390000001
24095,2184,520,7,14716,0.677860832
24096,1505,165,8,13203,0.7555169279999999
24097,1247,188,4,17471,0.570942705
24098,669,239,13,11498,0.867490868
24099,3048,140,9,16588,0.601267784
24100,1932,5,14,16778,0.5944451070000001
24101,1914,114,13,15552,0.6412718620000001
