,L,R,F,M,C,K
27294,544,154,9,18220,0.466596048,B
27295,3163,74,14,10716,0.793281075,B
27296,2147,402,5,6661,1.276189761,C
27297,1286,34,10,16333,0.520451234,A
27298,2199,98,9,11716,0.7254788320000001,A
27299,548,152,11,10631,0.7995127459999999,A
27300,2167,504,9,14199,0.5985668000000001,C
27301,943,285,10,9700,0.876172165,C
27302,2056,130,10,13166,0.645491417,A
27303,2601,184,5,10940,0.776781536,A
27304,685,9,14,10544,0.8059503029999999,A
27305,1188,2,12,13409,0.633740025,A
27306,1204,63,8,10944,0.7764309209999999,A
27307,2582,78,7,13721,0.619268275,B
27308,1594,11,10,12037,0.7059018029999999,B
27309,2041,110,9,11254,0.75501244,A
27310,1978,31,13,14668,0.5792555220000001,A
27311,433,35,12,12138,0.699892898,A
27312,1706,13,5,9140,0.9293358859999999,A
27313,748,245,8,10628,0.799176703,C
27314,1691,188,13,12514,0.678719834,C
27315,389,247,6,9376,0.905791382,A
27316,2227,141,9,14210,0.5976108370000001,A
27317,651,39,12,10320,0.8228207359999999,C
27318,782,265,6,10827,0.784273575,C
27319,1688,369,7,11067,0.7672314090000001,C
27320,1630,155,5,10540,0.80555408,A
27321,2556,47,10,11441,0.742103837,A
27322,1650,58,8,10134,0.837728439,A
27323,425,16,7,12182,0.696862584,B
27324,2272,223,10,11376,0.746198136,A
27325,1774,70,11,10192,0.832853218,B
27326,2049,42,13,8970,0.946153846,A
27327,2014,231,10,10003,0.84836649,C
27328,1333,74,8,10779,0.7871370259999999,A
27329,2533,196,10,12688,0.668680643,C
27330,453,156,11,11609,0.730771815,A
27331,1328,118,6,14705,0.5767147229999999,C
27332,514,401,3,9333,0.908646737,C
27333,2214,119,10,12886,0.657955921,B
27334,704,377,6,10789,0.785809621,C
27335,1688,37,10,12874,0.658532702,A
27336,522,13,12,11864,0.7144613959999999,C
27337,1077,86,9,11448,0.74033543,C
27338,3349,58,12,12351,0.686208404,A
27339,588,220,10,12860,0.659,A
27340,2709,4,9,11694,0.724694715,B
27341,2284,228,8,10735,0.789298556,A
27342,1811,109,8,11492,0.737271145,B
27343,1540,94,12,13861,0.611222855,A
27344,1733,203,7,12248,0.691709667,B
27345,1688,11,12,10955,0.7732806940000001,A
27346,1208,128,6,8726,0.97072771,C
27347,454,44,12,12527,0.676155504,A
27348,1705,139,8,11936,0.7095727209999999,A
27349,812,5,7,10096,0.838822306,A
27350,2828,95,4,8646,0.979412445,C
27351,2712,331,11,12475,0.678789579,B
27352,2756,74,10,16706,0.5068334729999999,A
27353,529,64,7,9428,0.897899873,B
27354,2439,281,7,11362,0.7450607290000001,C
27355,597,51,14,12362,0.684768646,A
27356,1616,397,12,13979,0.605501109,C
27357,880,164,7,10739,0.788121799,A
27358,1280,73,5,10225,0.827726161,C
27359,493,296,6,13504,0.626669876,C
27360,2082,561,4,6000,1.410333333,C
27361,440,92,6,14077,0.601109611,A
27362,2316,109,7,13397,0.631613794,A
27363,725,248,7,13785,0.613828799,A
27364,2153,39,7,11712,0.722467555,A
27365,857,81,10,8901,0.9506268959999999,A
27366,2397,79,12,11498,0.7358792829999999,A
27367,599,38,10,15614,0.541886128,A
27368,717,313,5,8461,1.0,B
27369,2920,7,12,15413,0.548821774,B
27370,1965,588,4,10572,0.8,C
27371,371,109,8,8570,0.986876313,A
27372,491,65,10,13157,0.64279091,A
27373,3119,100,7,14512,0.582760474,B
27374,1408,104,10,15424,0.548221603,A
27375,1201,200,7,14201,0.595418632,A
27376,1958,179,9,9488,0.891109823,C
27377,2902,29,8,10885,0.7766844279999999,B
27378,1173,3,11,16473,0.513190069,A
27379,709,257,8,11565,0.7309641159999999,C
27380,487,144,8,10255,0.824339347,A
27381,913,191,4,8308,1.0175,C
27382,3009,73,8,15057,0.561396028,A
27383,500,2,8,13899,0.608156702,A
27384,2335,43,5,11696,0.7227026329999999,A
27385,1675,5,13,9612,0.879371619,B
27386,2494,116,12,12694,0.665859461,A
27387,952,156,5,11113,0.760568703,A
27388,2382,52,9,17025,0.496432305,A
27389,1731,15,14,14644,0.577142857,A
27390,2913,112,15,16675,0.5068443779999999,C
27391,1090,10,10,13447,0.628494832,A
27392,660,177,7,10778,0.784106513,A
27393,1267,311,7,11979,0.705472076,C
27394,371,93,3,10969,0.770298113,A
27395,2575,151,10,11096,0.761369863,A
27396,1151,196,13,11211,0.7535340290000001,A
27397,1853,263,10,12356,0.683689705,C
27398,898,5,10,15467,0.546140169,A
27399,1051,190,7,19789,0.42683561600000003,A
27400,836,277,8,10024,0.842638667,C
27401,528,112,10,12388,0.6818090090000001,A
27402,1113,16,9,10994,0.768217209,A
27403,590,56,8,13024,0.648456695,A
27404,519,84,10,11632,0.726027338,A
27405,879,114,10,12208,0.6916751309999999,A
27406,715,516,5,11683,0.7227210479999999,C
27407,1073,23,9,8951,0.943283432,C
27408,996,45,12,12940,0.652358578,A
27409,1664,363,15,14409,0.585835242,C
27410,426,85,7,12591,0.670419347,A
27411,1103,118,10,11001,0.767310245,A
27412,2464,14,8,12800,0.659401563,A
27413,1218,121,4,11246,0.7505139609999999,A
27414,2615,113,7,20958,0.40271590799999996,B
27415,393,133,8,11613,0.726765694,A
27416,976,309,9,13378,0.630879055,B
27417,654,391,7,13467,0.626706022,C
27418,531,211,7,15870,0.531806553,A
27419,380,30,5,11530,0.7319687770000001,A
27420,1446,69,7,10961,0.76994526,C
27421,2334,12,4,15344,0.55,A
27422,1389,142,11,9836,0.8579198859999999,C
27423,3176,102,11,13043,0.646974622,A
27424,1740,148,5,18878,0.44696048299999996,C
27425,1236,242,14,10669,0.790849189,C
27426,715,320,9,14992,0.562803495,C
27427,903,461,5,10771,0.783320954,C
27428,1069,175,5,11844,0.7123497129999999,A
27429,1291,233,10,12926,0.652643509,A
27430,1357,382,7,8826,0.955767052,C
27431,554,223,9,10917,0.7726307590000001,A
27432,463,101,3,12116,0.696169528,A
27433,1715,96,11,11214,0.752156233,B
27434,675,7,5,12173,0.692898217,C
27435,614,161,9,13809,0.61075965,A
27436,938,144,10,10092,0.8356866829999999,A
27437,1628,106,11,11670,0.722667524,B
27438,2098,227,12,12677,0.665220478,C
27439,2799,433,4,8208,1.027308723,C
27440,740,11,11,11716,0.7196935809999999,B
27441,1860,159,6,13433,0.6276818279999999,A
27442,718,212,12,11060,0.762349005,C
27443,2086,43,8,11033,0.764205565,A
27444,759,323,11,13596,0.620053692,C
27445,2453,89,16,15729,0.5359628710000001,A
27446,2458,192,7,12015,0.7015830209999999,B
27447,1810,149,8,9916,0.850064542,B
27448,2300,372,5,12841,0.656288451,C
27449,548,264,6,9505,0.886586007,C
27450,777,6,6,11373,0.740952255,A
27451,1563,50,9,12526,0.6727231359999999,A
27452,1395,5,9,13311,0.6330456010000001,B
27453,1733,115,11,12083,0.69732434,A
27454,377,26,11,7590,1.11,A
27455,820,3,5,6565,1.283249048,A
27456,919,341,7,9895,0.851369378,C
27457,2528,52,7,12286,0.685666612,A
27458,1854,65,8,10767,0.7823674190000001,C
27459,2191,12,10,10520,0.800634981,A
27460,2029,36,8,13410,0.628029828,A
27461,2141,13,10,13996,0.601729065,A
27462,1607,181,12,19126,0.4403262570000001,C
27463,2203,278,11,12096,0.696218585,C
27464,2655,123,8,13739,0.6129434460000001,B
27465,2193,173,12,15022,0.560552523,C
27466,1021,24,8,5919,1.422486907,A
27467,2010,208,14,11986,0.70244869,B
27468,973,224,5,8485,0.992263995,A
27469,479,98,14,9660,0.8714285709999999,A
27470,2864,429,5,8416,1.0,C
27471,2481,16,16,12045,0.698709008,A
27472,2633,183,4,5727,1.4692771080000002,A
27473,650,171,4,11606,0.724993969,A
27474,569,78,4,10223,0.822980534,A
27475,2945,183,6,10625,0.791797647,C
27476,1807,12,15,13003,0.646917634,A
27477,1155,188,5,13848,0.607425621,A
27478,846,4,9,11752,0.7157403,A
27479,447,60,12,10648,0.7898948159999999,A
27480,638,30,7,22060,0.38126473299999997,A
27481,3046,32,7,14361,0.5856611660000001,A
27482,2154,484,12,9640,0.872448133,C
27483,3094,92,9,15015,0.560055278,C
27484,1086,94,11,16441,0.511444559,C
27485,2350,99,9,10589,0.79402021,A
27486,2434,24,10,17020,0.494,A
27487,1577,192,11,14228,0.590931262,C
27488,1411,113,16,12187,0.6898892259999999,B
27489,783,227,11,12196,0.689357166,B
27490,1354,61,11,11620,0.7235232359999999,A
27491,1416,21,14,11724,0.717082054,A
27492,1875,160,13,11458,0.7336734159999999,A
27493,1424,87,18,12341,0.681162791,B
27494,1369,451,9,8695,0.966785509,C
27495,689,100,11,12259,0.685639938,B
27496,2677,153,7,11563,0.72686673,C
27497,599,252,9,11569,0.726459504,C
27498,1448,246,15,18042,0.4657720870000001,C
27499,1601,19,14,9846,0.8534328659999999,B
27500,1269,48,8,18293,0.459345651,A
27501,2151,4,11,14781,0.568475069,B
27502,1690,81,15,12535,0.670307938,A
27503,2517,4,6,9346,0.899013482,A
27504,2184,11,7,10738,0.782434345,B
27505,944,34,14,14502,0.579335264,B
27506,1027,75,10,11352,0.74006871,C
27507,2717,175,12,11278,0.7449042379999999,C
27508,2324,39,6,11233,0.747882133,A
27509,2186,153,9,12956,0.648402285,C
27510,831,57,6,8681,0.96770303,A
27511,823,25,12,12571,0.668230849,A
27512,1269,21,8,11688,0.7186601640000001,A
27513,933,206,12,13432,0.625331298,B
27514,1856,27,8,15115,0.5556870660000001,A
27515,980,119,11,9355,0.897785142,B
27516,3139,218,7,8246,1.01849139,C
27517,546,41,6,6137,1.3684683069999999,A
27518,1256,62,10,14355,0.585031696,A
27519,2155,255,9,12083,0.695033518,B
27520,2629,33,9,12374,0.678688379,A
27521,429,30,10,10871,0.772516788,A
27522,1272,379,16,12085,0.69489036,C
27523,3095,115,11,10913,0.769471273,B
27524,1432,22,10,11771,0.713359952,A
27525,383,287,8,16310,0.514806867,A
27526,536,272,8,10739,0.781813949,B
27527,710,254,8,10258,0.818342757,C
27528,440,50,8,9240,0.90842316,A
27529,2202,130,8,9259,0.906497462,A
27530,3114,67,8,10748,0.7808578340000001,A
27531,485,190,6,11651,0.7203364520000001,A
27532,3005,60,14,14954,0.561193661,A
27533,1087,343,13,10166,0.825486917,C
27534,2256,158,6,8486,0.9888663679999999,C
27535,812,34,8,9756,0.860130176,A
27536,1233,18,9,12516,0.670419463,A
27537,464,76,10,14328,0.585607203,A
27538,2062,264,11,10741,0.7811516620000001,C
27539,2863,219,11,11352,0.7388927059999999,B
27540,461,18,9,10447,0.8028247340000001,A
27541,1970,282,7,15284,0.548744439,C
27542,2890,226,8,16399,0.511408622,A
27543,2342,40,9,12635,0.663679462,A
27544,682,598,7,13532,0.619634939,C
27545,581,490,6,12747,0.6576998510000001,C
27546,857,195,8,10989,0.7629010829999999,A
27547,1578,67,5,12378,0.6772871220000001,A
27548,1616,84,11,11143,0.7523386879999999,A
27549,1068,50,7,11288,0.742625797,A
27550,1257,164,9,10688,0.784299214,B
27551,734,90,16,9007,0.930660597,C
27552,2463,10,5,6530,1.2836554359999999,A
27553,443,88,7,10784,0.777259829,A
27554,388,127,11,12504,0.6703063020000001,A
27555,706,59,8,15156,0.5529961729999999,A
27556,627,25,7,10777,0.777679317,A
27557,945,25,13,11148,0.751751884,A
27558,931,196,10,12068,0.6944356979999999,C
27559,2628,36,8,11884,0.705084147,A
27560,1999,548,4,11172,0.75,C
27561,511,59,8,12296,0.681419161,A
27562,1092,309,10,8912,0.94008079,A
27563,1715,191,8,10194,0.821806945,C
27564,681,107,8,9796,0.855169457,A
27565,3140,102,10,12531,0.668518873,A
27566,1646,110,5,7052,1.187828985,A
27567,2511,73,4,7833,1.069379548,A
27568,3054,138,11,11686,0.716694335,B
27569,1004,570,7,9620,0.870602911,C
27570,1660,202,10,10903,0.76814363,A
27571,413,411,2,10274,0.815018493,C
27572,2531,106,17,11807,0.7091691370000001,B
27573,866,118,6,18110,0.46233683,C
27574,429,100,8,10004,0.8369352259999999,A
27575,2748,11,10,14143,0.591994626,A
27576,3270,134,7,11917,0.702475455,A
27577,1014,194,7,10130,0.826258638,C
27578,757,202,10,10983,0.762025858,C
27579,2657,29,13,16971,0.493150669,A
27580,682,203,8,12965,0.645518704,B
27581,3053,62,6,14054,0.5954632129999999,A
27582,2481,17,17,11993,0.697728675,A
27583,1230,8,7,11727,0.713553338,A
27584,987,45,8,9133,0.916183072,A
27585,373,18,9,14503,0.576927532,A
27586,1099,154,11,11399,0.734006492,A
27587,2115,24,6,12426,0.673326895,A
27588,1236,191,11,14418,0.58028298,B
27589,1346,52,11,12077,0.6927639309999999,A
27590,1020,60,4,10148,0.8244294440000001,A
27591,1244,177,9,12709,0.658219372,A
27592,2158,264,6,11848,0.7060229570000001,A
27593,2708,1,12,11009,0.7598246890000001,A
27594,724,224,10,14251,0.586937759,B
27595,2904,32,18,18799,0.444936965,A
27596,1211,42,13,11083,0.754619688,A
27597,1014,301,10,13731,0.6090823679999999,C
27598,939,368,12,9550,0.875696335,C
27599,366,12,7,11730,0.712888321,A
27600,2532,134,5,12176,0.686769875,C
27601,1419,69,8,12245,0.68284606,B
27602,1100,438,11,9503,0.879832684,C
27603,759,97,15,8685,0.962666667,A
27604,580,64,6,14793,0.565174745,A
27605,916,187,11,16820,0.49703805,B
27606,1423,76,5,9633,0.867856327,A
27607,850,230,8,22710,0.368121973,A
27608,622,122,6,11802,0.708333333,C
27609,1444,402,6,16446,0.5083120520000001,C
27610,1447,162,7,9758,0.856702193,B
27611,2197,114,10,14869,0.562169615,A
27612,623,332,7,17512,0.47728414799999996,B
27613,1012,402,6,9603,0.8703269809999999,C
27614,2706,35,5,10701,0.7809681340000001,A
27615,2306,27,12,14395,0.580553664,A
27616,566,42,10,10322,0.8096241040000001,A
27617,1151,391,10,11050,0.756262443,C
27618,2499,106,5,14780,0.565404601,A
27619,835,136,14,13451,0.6212177529999999,C
27620,434,43,8,16026,0.521359666,A
27621,673,431,12,10444,0.8,C
27622,1055,128,11,11904,0.701836358,C
27623,2864,27,9,9421,0.88679758,A
27624,2138,198,10,11713,0.71323999,C
27625,483,98,11,12065,0.692385412,B
27626,2707,44,9,13049,0.640141007,A
27627,2213,72,10,12628,0.661481628,B
27628,2960,17,11,18442,0.452937859,A
27629,1069,185,9,9388,0.889752876,A
27630,883,125,12,12476,0.669485412,B
27631,2899,5,12,10654,0.7839750329999999,C
27632,1226,9,7,12010,0.6954554540000001,A
27633,2194,37,9,14247,0.586202007,B
27634,807,153,5,10477,0.7970984059999999,B
27635,1935,12,15,11731,0.7118557670000001,A
27636,2436,460,8,13184,0.633373786,C
27637,1874,67,13,10860,0.768864641,A
27638,627,236,8,11279,0.740298785,C
27639,373,129,6,6144,1.3589550780000001,A
27640,1502,7,9,13267,0.6292839379999999,A
27641,561,315,11,12656,0.659647598,C
27642,2952,38,4,12276,0.68,A
27643,1092,104,10,13697,0.609417391,B
27644,1753,8,12,12834,0.650289855,B
27645,1219,79,5,15730,0.5305333760000001,B
27646,2047,109,9,11623,0.717981588,C
27647,3139,124,13,13603,0.613364699,C
27648,581,80,8,12048,0.69251245,A
27649,3125,82,11,22941,0.363676823,B
27650,3132,133,10,11886,0.701828201,A
27651,874,31,10,14990,0.556498332,A
27652,887,261,7,11452,0.728394167,C
27653,579,72,6,10482,0.7957727529999999,A
27654,1490,34,10,10870,0.767367985,A
27655,523,145,8,14836,0.562171744,A
27656,812,234,8,10038,0.8308418009999999,A
27657,587,33,12,15832,0.526771097,A
27658,783,224,9,11847,0.7039166029999999,C
27659,457,139,7,13200,0.631736364,A
27660,954,580,3,14380,0.5798748260000001,C
27661,862,400,8,10848,0.768657817,C
27662,1909,32,10,15352,0.543140959,C
27663,1911,28,8,13661,0.610306713,A
27664,2002,375,10,10535,0.791324158,C
27665,3414,34,9,9941,0.838595715,C
27666,375,2,13,16450,0.506705775,A
27667,1517,13,27,15660,0.532222222,A
27668,793,118,10,14724,0.566021462,A
27669,2556,31,12,11376,0.732603727,A
27670,490,124,9,12541,0.6644868829999999,A
27671,837,30,9,12158,0.685412074,C
27672,1494,27,9,9603,0.86775591,A
27673,3071,8,15,11081,0.7520034290000001,A
27674,1139,296,8,13100,0.63609771,C
27675,1755,387,8,13412,0.621219803,C
27676,721,34,11,8950,0.930905028,B
27677,1336,88,9,14259,0.584289221,C
27678,1668,128,10,11776,0.707320822,A
27679,2750,68,8,10979,0.7586601690000001,A
27680,1154,575,3,11544,0.721509009,C
27681,381,158,9,11564,0.7202594259999999,A
27682,2404,153,9,12650,0.658395257,C
27683,1313,376,12,10481,0.7946474570000001,C
27684,2876,459,7,13548,0.614732802,C
27685,880,150,7,12663,0.657668009,C
27686,2342,78,8,11554,0.7207919340000001,A
27687,1221,26,8,11179,0.744953931,A
27688,563,152,12,12260,0.679194127,A
27689,3036,216,7,10229,0.8139368459999999,B
27690,1157,35,8,12465,0.66789651,A
27691,2497,138,9,11329,0.7348609759999999,C
27692,1042,354,9,16433,0.506614739,C
27693,747,442,5,14110,0.59,C
27694,983,23,8,11488,0.724606546,A
27695,1433,4,10,10084,0.825491868,A
27696,942,122,14,17530,0.47485624600000004,A
27697,365,44,5,12049,0.690863142,A
27698,423,109,8,5707,1.4584930790000001,A
27699,1806,8,12,11932,0.6975,A
27700,583,504,4,9725,0.855753213,C
27701,1076,21,10,12193,0.6825342409999999,A
27702,2368,1,12,13747,0.605366262,A
27703,2101,244,8,11551,0.7204345940000001,A
27704,1054,146,8,10587,0.78602437,C
27705,597,7,10,11202,0.74284592,C
27706,949,251,8,10941,0.7605639340000001,A
27707,974,100,21,9970,0.834613842,B
27708,1494,3,5,16881,0.492910965,A
27709,810,172,5,9835,0.846,A
27710,510,44,9,13265,0.627119487,C
27711,739,121,6,14993,0.554819582,A
27712,397,10,6,13469,0.61757443,A
27713,2869,165,6,9491,0.876415552,C
27714,2034,13,19,10094,0.824054884,A
27715,557,186,9,13095,0.635197404,C
27716,1278,113,8,10035,0.8288340809999999,A
27717,2744,105,7,12301,0.676138525,A
27718,2336,186,6,10619,0.783224409,A
27719,786,396,6,9156,0.908333333,C
27720,678,21,13,13000,0.639715385,A
27721,650,76,14,14995,0.554588863,A
27722,1612,13,12,12697,0.654958652,B
27723,2533,37,5,9113,0.9123548779999999,A
27724,628,50,8,12747,0.652240527,A
27725,968,112,12,11038,0.75318536,A
27726,907,29,10,13353,0.622593425,A
27727,544,18,12,12908,0.643992098,A
27728,713,438,4,8312,1.0,C
27729,1589,17,8,18944,0.43875,B
27730,1802,61,7,14286,0.581796164,A
27731,743,266,8,14462,0.574679851,A
27732,709,10,10,13528,0.614350237,B
27733,688,93,12,16478,0.5043403329999999,A
27734,1261,346,5,10386,0.8,B
27735,944,19,10,11599,0.716337615,A
27736,481,81,14,9502,0.8744001259999999,A
27737,384,25,6,13206,0.62911934,A
27738,1428,264,6,11535,0.72016645,C
27739,2565,343,10,14909,0.557163458,C
27740,1177,248,10,11613,0.715283734,C
27741,1949,303,6,11548,0.719205923,C
27742,904,75,7,14251,0.582792085,B
27743,2029,205,9,11848,0.70097738,C
27744,3151,118,8,12911,0.643222059,A
27745,2247,18,11,11289,0.735576225,A
27746,1540,34,12,12926,0.642368095,A
27747,1956,115,11,11733,0.707640842,A
27748,2858,100,14,17182,0.483198114,A
27749,568,31,11,11701,0.709525682,A
27750,396,91,8,13838,0.599894493,A
27751,475,18,10,11282,0.735753413,A
27752,539,43,12,11520,0.7205381940000001,B
27753,916,24,10,10818,0.7672545759999999,A
27754,1095,309,12,12731,0.651928364,C
27755,3411,114,9,12308,0.674333767,A
27756,2065,142,12,8766,0.946762491,A
27757,1649,111,9,11203,0.740787289,C
27758,978,22,4,15959,0.520010026,A
27759,393,39,6,9342,0.888333333,A
27760,3230,148,7,11268,0.7364669859999999,C
27761,568,6,10,12391,0.669719151,A
27762,1084,65,8,12937,0.6413859470000001,A
27763,699,135,7,11939,0.6949853420000001,B
27764,1322,47,8,11644,0.712590175,A
27765,557,12,12,15089,0.549897276,A
27766,804,429,11,11591,0.71580968,C
27767,652,2,6,12282,0.67548282,A
27768,3370,98,7,10140,0.818088757,A
27769,3052,154,5,12880,0.644,A
27770,517,321,8,9827,0.844072453,B
27771,1560,250,7,10141,0.817909476,B
27772,444,159,8,10921,0.759485395,A
27773,780,5,10,10453,0.793482254,A
27774,1826,36,7,9303,0.891555412,A
27775,825,6,6,10455,0.793306552,A
27776,2759,9,8,11315,0.733004861,A
27777,722,14,9,11303,0.7337335220000001,A
27778,1558,82,8,9940,0.8343259559999999,C
27779,584,261,9,12555,0.660493827,A
27780,1384,62,10,12464,0.6652350770000001,C
27781,873,49,8,12655,0.655116555,B
27782,2097,13,11,10919,0.759205055,A
27783,847,413,5,9434,0.878704685,C
27784,1393,4,13,13063,0.634508918,A
27785,753,21,6,5838,1.419743063,C
27786,1857,65,3,6083,1.3625316459999999,A
27787,464,4,15,13435,0.616914775,A
27788,502,30,12,14209,0.583289464,A
27789,383,45,10,15511,0.534321449,A
27790,1751,16,14,11966,0.692578138,A
27791,798,206,6,10885,0.761277905,C
27792,2875,8,17,10448,0.793094372,A
27793,1392,609,8,10900,0.760201835,C
27794,1314,166,10,12030,0.688710723,B
27795,1282,74,10,12668,0.654021156,C
27796,1373,33,8,11732,0.706081657,B
27797,1419,683,5,9197,0.900619767,C
27798,1488,50,10,13845,0.598252799,A
27799,370,50,12,16191,0.5115632139999999,A
27800,987,70,7,13209,0.627045196,A
27801,880,241,6,15116,0.5479095,C
27802,2761,108,7,12972,0.638465156,B
27803,756,388,9,10262,0.807060027,C
27804,1940,206,7,12372,0.669358228,B
27805,1202,32,12,10285,0.8051618859999999,A
27806,412,38,7,11873,0.697461467,A
27807,923,129,7,8313,0.9960423429999999,C
27808,797,25,8,17541,0.471975372,A
27809,1427,58,8,13472,0.614484115,A
27810,560,93,9,13454,0.615277241,A
27811,2034,321,7,8906,0.929468897,C
27812,444,258,7,11750,0.7044740429999999,C
27813,1393,55,11,16571,0.499513005,A
27814,1330,46,8,10084,0.820812178,C
27815,2343,101,8,9887,0.837107313,A
27816,979,153,12,10434,0.7932173659999999,C
27817,1726,449,9,10159,0.81467172,C
27818,1564,39,13,10798,0.76640489,B
27819,1289,88,7,12975,0.637792678,C
27820,952,223,7,10792,0.766717013,C
27821,1069,149,9,16939,0.48846094799999995,B
27822,990,8,13,18448,0.448445902,B
27823,864,140,7,11041,0.7492509740000001,A
27824,530,11,10,12194,0.678400033,A
27825,675,5,11,10270,0.80544888,A
27826,1295,259,11,15099,0.547793894,C
27827,448,44,7,10122,0.817142857,A
27828,1737,59,12,13067,0.6328637020000001,C
27829,2095,289,3,10147,0.814930521,C
27830,2875,1,5,10087,0.819759096,A
27831,3247,86,13,12932,0.63937906,A
27832,3081,7,14,16269,0.508189194,A
27833,526,29,7,13804,0.5989075629999999,A
27834,2877,25,10,12774,0.64719117,B
27835,2721,72,10,10375,0.796813494,A
27836,2677,311,11,15082,0.548130221,C
27837,1012,7,5,6467,1.278320705,A
27838,3082,284,8,14234,0.58072924,C
27839,2200,23,8,8357,0.989112122,A
27840,3323,607,6,8266,1.0,C
27841,509,13,16,11844,0.6978022629999999,A
27842,2787,142,5,12102,0.682815237,C
27843,578,167,10,11656,0.70891987,B
27844,1342,32,9,10582,0.7808372709999999,B
27845,1053,12,13,15132,0.545999207,A
27846,2597,22,13,10846,0.761747188,A
27847,1468,61,8,10213,0.808927837,A
27848,650,98,9,15341,0.538527475,B
27849,911,21,7,11664,0.7082536009999999,A
27850,1574,229,6,9614,0.8592188479999999,A
27851,2920,254,4,5578,1.480864109,A
27852,485,127,4,11706,0.705627883,A
27853,2281,591,6,11143,0.7412187020000001,C
27854,821,195,8,9980,0.82752505,C
27855,695,54,11,13591,0.607643293,A
27856,647,4,9,16681,0.495076434,A
27857,3267,430,14,15778,0.523380657,C
27858,2562,34,12,13500,0.611694815,A
27859,923,402,11,12285,0.672120472,C
27860,2860,30,11,10950,0.754016438,A
27861,1282,6,7,11215,0.736180116,A
27862,833,28,8,10019,0.8240013970000001,C
27863,3304,136,16,15821,0.521795715,C
27864,1213,168,5,14347,0.575395553,A
27865,2261,17,8,14516,0.568650455,A
27866,739,117,8,12440,0.663528939,A
27867,1010,368,9,14874,0.554931424,C
27868,1245,116,7,10816,0.76310466,C
27869,3046,184,8,9421,0.876088526,A
27870,712,299,5,6278,1.31457152,C
27871,485,11,10,12724,0.6486049979999999,A
27872,618,12,12,11656,0.707999314,A
27873,739,395,9,15942,0.517645214,C
27874,389,36,7,11165,0.7391034479999999,A
27875,2103,206,8,12757,0.64686525,C
27876,964,318,14,17069,0.483417306,C
27877,1158,420,8,10771,0.7659038159999999,C
27878,598,234,19,13397,0.6157587520000001,A
27879,375,97,9,9639,0.8558138809999999,A
27880,601,92,9,14463,0.570317362,A
27881,1217,113,9,9809,0.840834947,C
27882,1890,67,3,11508,0.716666667,A
27883,1869,171,8,11655,0.707567568,C
27884,732,5,10,10184,0.809747643,C
27885,2735,7,9,12499,0.65975198,A
27886,2236,11,9,13309,0.6194995870000001,C
27887,742,260,11,11149,0.739487846,C
27888,1054,10,20,13895,0.593334293,A
27889,1764,50,9,11534,0.714739032,A
27890,1503,421,7,12030,0.685137157,C
27891,2408,19,8,10630,0.7753697079999999,A
27892,518,64,6,5798,1.421517765,A
27893,729,4,8,12352,0.667159165,A
27894,2182,319,8,12945,0.636589417,B
27895,512,485,6,8749,0.94156475,C
27896,2659,39,6,7077,1.1639706090000002,A
27897,571,12,9,7831,1.051891202,A
27898,1435,70,10,10024,0.821747805,C
27899,3117,150,7,13177,0.625115732,A
27900,1368,15,13,19642,0.419344771,A
27901,776,271,3,9690,0.85,C
27902,672,612,3,9690,0.85,C
27903,422,28,7,12838,0.641569559,A
27904,1724,136,12,15444,0.533285418,A
27905,2469,102,6,10084,0.816706664,A
27906,716,28,12,13744,0.599219296,C
27907,1176,151,2,14199,0.58,A
27908,1532,53,7,11547,0.713184377,A
27909,651,287,7,9325,0.883099196,B
27910,1751,13,8,11229,0.733351144,A
27911,557,2,9,11868,0.6938498479999999,A
27912,959,6,9,8386,0.981856666,B
27913,2019,151,4,6650,1.238144361,C
27914,2607,268,14,8569,0.9608507409999999,C
27915,1046,258,9,11997,0.686217388,C
27916,2114,27,13,16762,0.491125761,A
27917,974,96,9,10877,0.7567628940000001,C
27918,2383,40,12,10769,0.764333736,B
27919,601,193,6,10448,0.7877871359999999,C
27920,601,359,5,13166,0.625155704,B
27921,810,12,14,14396,0.571661573,A
27922,823,9,15,15589,0.527901084,A
27923,739,160,12,7088,1.160960779,C
27924,389,35,5,8865,0.928241399,B
27925,2395,154,10,11304,0.727949398,A
27926,1511,199,5,11881,0.692557865,A
27927,443,3,10,15178,0.5421017260000001,A
27928,561,27,8,13225,0.62214896,B
27929,620,142,12,10883,0.7559955890000001,C
27930,1294,257,7,16094,0.511145769,B
27931,1148,573,4,9140,0.9,C
27932,957,204,11,11598,0.709244697,C
27933,2063,35,10,11743,0.700464106,C
27934,1417,149,7,11297,0.7280702840000001,B
27935,1438,7,4,13122,0.62677793,A
27936,1074,30,18,10151,0.810200965,B
27937,1259,178,10,14336,0.573684431,A
27938,1315,286,5,12542,0.655740711,B
27939,411,234,2,9675,0.85,A
27940,2600,279,14,12701,0.647488387,C
27941,430,99,5,10275,0.800321168,A
27942,1872,89,6,9894,0.8310895490000001,C
27943,2238,69,8,15477,0.5312534729999999,A
27944,558,95,12,10412,0.7896734540000001,A
27945,2395,241,15,10683,0.769549752,C
27946,3361,78,14,13194,0.623067303,A
27947,2214,32,10,12134,0.677486402,C
27948,2108,16,8,11062,0.743135057,A
27949,2381,16,12,16496,0.498315955,B
27950,1629,44,6,7791,1.055027596,C
27951,2171,7,7,11994,0.685316825,A
